,dimensions,rock_chance,grass_grow_back,owls_target_slow_mice,rand_catch,in_medias_res,m_number,m_die_of_hunger,m_preg_time,m_max_age,o_number,o_die_of_hunger,o_preg_time,o_max_age,rand_variance_trait,speed,ticks,sim ver,avg_speed_mouse,avg_speed_owl,non_NA_count_mice,non_NA_count_owls,repetitions,non_NA_fraction_mice,non_NA_fraction_owls,harmonic_mean
41,10,0,5,True,True,True,50,3,2,0,10,10,5,0,10,True,1000,1,76.5,43.0,2,1,2,1.0,0.5,0.6666666666666666
64,10,0,5,True,True,True,50,3,3,0,10,6,2,0,10,True,1000,1,128.5,60.0,2,1,2,1.0,0.5,0.6666666666666666
65,10,0,5,True,True,True,50,3,3,0,10,6,3,0,10,True,1000,1,91.5,75.0,2,1,2,1.0,0.5,0.6666666666666666
67,10,0,5,True,True,True,50,3,3,0,10,6,5,0,10,True,1000,1,193.5,73.0,2,1,2,1.0,0.5,0.6666666666666666
69,10,0,5,True,True,True,50,3,3,0,10,7,3,0,10,True,1000,1,98.0,50.0,2,1,2,1.0,0.5,0.6666666666666666
70,10,0,5,True,True,True,50,3,3,0,10,7,4,0,10,True,1000,1,87.0,87.0,2,1,2,1.0,0.5,0.6666666666666666
72,10,0,5,True,True,True,50,3,3,0,10,8,2,0,10,True,1000,1,102.5,41.0,2,1,2,1.0,0.5,0.6666666666666666
42,10,0,5,True,True,True,50,3,3,0,10,3,2,0,10,True,1000,1,88.5,94.0,2,1,2,1.0,0.5,0.6666666666666666
39,10,0,5,True,True,True,50,3,2,0,10,10,3,0,10,True,1000,1,73.0,64.0,2,1,2,1.0,0.5,0.6666666666666666
22,10,0,5,True,True,True,50,3,2,0,10,6,2,0,10,True,1000,1,220.5,61.0,2,1,2,1.0,0.5,0.6666666666666666
37,10,0,5,True,True,True,50,3,2,0,10,9,5,0,10,True,1000,1,276.5,64.0,2,1,2,1.0,0.5,0.6666666666666666
36,10,0,5,True,True,True,50,3,2,0,10,9,4,0,10,True,1000,1,163.0,76.0,2,1,2,1.0,0.5,0.6666666666666666
62,10,0,5,True,True,True,50,3,3,0,10,5,4,0,10,True,1000,1,93.5,53.0,2,1,2,1.0,0.5,0.6666666666666666
27,10,0,5,True,True,True,50,3,2,0,10,7,3,0,10,True,1000,1,99.0,95.0,2,1,2,1.0,0.5,0.6666666666666666
26,10,0,5,True,True,True,50,3,2,0,10,7,2,0,10,True,1000,1,149.0,87.0,2,1,2,1.0,0.5,0.6666666666666666
